InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
TRUE,TRUE,Kirby Puckett,12,7244,1071,2304,414,57,207,1085,134,0.318056322473771,0.476670347874103,10,0,0,6,0,3453,22,1995,5758
FALSE,FALSE,Willy Fetzer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,34
FALSE,FALSE,Gene Good,1,119,4,18,0,0,0,0,2,0.151260504201681,0.151260504201681,0,0,0,0,0,18,0,1906,35
FALSE,FALSE,Harry Huston,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,37
FALSE,FALSE,Ducky Holmes,1,27,2,5,0,0,0,2,0,0.185185185185185,0.185185185185185,0,0,0,0,0,5,0,1906,38
FALSE,FALSE,Tom Walsh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,40
FALSE,FALSE,Jack Schulte,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,41
FALSE,FALSE,Allie Strobel,2,336,29,66,10,3,1,26,2,0.196428571428571,0.25297619047619,0,0,0,0,0,85,0,1906,43
FALSE,FALSE,Red Morgan,1,307,20,66,6,3,1,21,7,0.214983713355049,0.263843648208469,0,0,0,0,0,81,0,1906,44
FALSE,FALSE,Phil Reardon,1,14,0,1,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,1,0,1906,46
FALSE,FALSE,Lee Quillin,2,160,18,32,5,0,0,14,9,0.2,0.23125,0,0,0,0,0,37,0,1907,47
FALSE,FALSE,Bob Peterson,2,131,11,25,1,1,1,9,1,0.190839694656489,0.236641221374046,0,0,0,0,0,31,0,1907,49
FALSE,FALSE,Monty Pfyl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,50
FALSE,FALSE,Bill McCarthy,2,11,1,1,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,1,0,1907,52
FALSE,FALSE,Ed McLane,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,53
FALSE,FALSE,Pete Noonan,3,479,40,98,11,7,4,38,5,0.204592901878914,0.281837160751566,0,0,0,0,0,135,0,1907,55
FALSE,FALSE,Howard Wakefield,3,274,24,68,11,2,1,25,6,0.248175182481752,0.313868613138686,0,0,0,0,0,86,0,1907,56
FALSE,FALSE,Buck Hopkins,1,44,7,6,3,0,0,3,2,0.136363636363636,0.204545454545455,0,0,0,0,0,9,0,1907,58
FALSE,FALSE,Pete Lister,1,65,5,18,2,0,0,4,2,0.276923076923077,0.307692307692308,0,0,0,0,0,20,0,1907,59
FALSE,FALSE,Billy Kelsey,1,5,1,2,0,0,0,0,0,0.4,0.4,0,0,0,0,0,2,0,1907,61
FALSE,FALSE,Kid Butler,1,59,4,13,2,0,0,6,1,0.220338983050847,0.254237288135593,0,0,0,0,0,15,0,1907,62
FALSE,FALSE,Forrest Crawford,2,167,8,35,3,1,0,14,1,0.209580838323353,0.239520958083832,0,0,0,0,0,40,0,1907,64
FALSE,FALSE,Marc Campbell,1,4,0,1,0,0,0,1,0,0.25,0.25,0,0,0,0,0,1,0,1907,65
FALSE,FALSE,Homer Davidson,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1908,67
FALSE,FALSE,Mike Donovan,2,21,2,5,1,0,0,2,0,0.238095238095238,0.285714285714286,0,0,0,0,0,6,0,1908,68
FALSE,FALSE,Dick Bayless,1,71,7,16,1,0,1,3,0,0.225352112676056,0.28169014084507,0,0,0,0,0,20,0,1908,70
FALSE,FALSE,Jim Ball,2,51,4,7,2,0,0,3,0,0.137254901960784,0.176470588235294,0,0,0,0,0,9,0,1908,71
FALSE,FALSE,Art Hoelskoetter,4,952,59,225,21,8,2,53,9,0.236344537815126,0.281512605042017,0,0,0,0,0,268,0,1908,73
FALSE,FALSE,Jack Hoey,3,500,39,116,10,5,0,35,13,0.232,0.272,0,0,0,0,0,136,0,1908,74
FALSE,FALSE,Charlie Johnson,1,16,2,4,0,1,0,2,0,0.25,0.375,0,0,0,0,0,6,0,1908,76
FALSE,FALSE,Jack Hannifin,3,439,50,94,13,6,3,40,14,0.214123006833713,0.291571753986333,0,0,0,0,0,128,0,1908,77
FALSE,FALSE,Shag Shaughnessy,2,32,2,9,0,0,0,1,3,0.28125,0.28125,0,0,0,0,0,9,0,1908,79
FALSE,FALSE,Hunky Shaw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,80
FALSE,FALSE,Ralph McLaurin,1,22,2,5,0,0,0,0,0,0.227272727272727,0.227272727272727,0,0,0,0,0,5,0,1908,82
FALSE,FALSE,Bill McGilvray,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,83
FALSE,FALSE,Frank Manush,1,77,6,12,2,1,0,0,2,0.155844155844156,0.207792207792208,0,0,0,0,0,16,0,1908,85
FALSE,FALSE,Patsy O'Rourke,1,164,8,32,4,2,0,16,2,0.195121951219512,0.24390243902439,0,0,0,0,0,40,0,1908,86
FALSE,FALSE,Harry Ostdiek,2,21,1,3,0,1,0,3,1,0.142857142857143,0.238095238095238,0,0,0,0,0,5,0,1908,88
FALSE,FALSE,Harry Pattee,1,264,19,57,5,2,0,9,24,0.215909090909091,0.25,0,0,0,0,0,66,0,1908,89
FALSE,FALSE,Clare Patterson,1,8,0,1,0,0,0,1,0,0.125,0.125,0,0,0,0,0,1,0,1909,91
FALSE,FALSE,Si Pauxtis,1,8,2,1,0,0,0,0,0,0.125,0.125,0,0,0,0,0,1,0,1909,92
FALSE,FALSE,Fred Osborn,3,907,98,228,25,16,2,72,26,0.251378169790518,0.320837927232635,0,0,0,0,0,291,0,1909,94
FALSE,FALSE,Tom Raftery,1,32,6,7,2,1,0,0,1,0.21875,0.34375,0,0,0,0,0,11,0,1909,95
FALSE,FALSE,Barney Reilly,1,25,3,5,0,0,0,3,2,0.2,0.2,0,0,0,0,0,5,0,1909,97
FALSE,FALSE,Duke Reilley,1,62,10,13,0,0,0,0,5,0.209677419354839,0.209677419354839,0,0,0,0,0,13,0,1909,98
FALSE,FALSE,Milo Netzel,1,37,2,7,1,0,0,3,1,0.189189189189189,0.216216216216216,0,0,0,0,0,8,0,1909,100
FALSE,FALSE,Howard Murphy,1,60,3,12,0,0,0,3,1,0.2,0.2,0,0,0,0,0,12,0,1909,101
FALSE,FALSE,Lee Meyer,1,23,1,3,0,0,0,0,0,0.130434782608696,0.130434782608696,0,0,0,0,0,3,0,1909,103
FALSE,FALSE,Bill Shipke,4,552,59,110,11,10,1,29,21,0.199275362318841,0.260869565217391,0,0,0,0,0,144,0,1909,104
FALSE,FALSE,Joe Stanley,7,694,77,148,15,10,2,76,20,0.213256484149856,0.272334293948127,0,0,0,0,0,189,0,1909,106
FALSE,FALSE,Wib Smith,1,42,3,8,0,0,0,2,0,0.19047619047619,0.19047619047619,0,0,0,0,0,8,0,1909,107
FALSE,FALSE,Eddie Tiemeyer,3,19,5,5,1,0,0,0,0,0.263157894736842,0.315789473684211,0,0,0,0,0,6,0,1909,109
FALSE,FALSE,Alan Storke,4,863,68,225,22,11,2,74,17,0.26071842410197,0.318655851680185,0,0,0,0,0,275,0,1909,110
FALSE,FALSE,Fred Stem,2,317,22,71,2,4,0,14,6,0.22397476340694,0.255520504731861,0,0,0,0,0,81,0,1909,112
FALSE,FALSE,Jack Wanner,1,8,0,1,0,0,0,0,1,0.125,0.125,0,0,0,0,0,1,0,1909,113
FALSE,FALSE,Bert James,1,21,1,6,0,0,0,0,1,0.285714285714286,0.285714285714286,0,0,0,0,0,6,0,1909,115
FALSE,FALSE,Paul Howard,1,15,2,3,1,0,0,2,0,0.2,0.266666666666667,0,0,0,0,0,4,0,1909,116
FALSE,FALSE,Speed Kelly,1,42,3,6,2,1,0,1,1,0.142857142857143,0.238095238095238,0,0,0,0,0,10,0,1909,118
FALSE,FALSE,Jul Kustus,1,173,12,25,5,0,1,11,9,0.144508670520231,0.190751445086705,0,0,0,0,0,33,0,1909,119
FALSE,FALSE,Chick Autry,2,257,22,50,6,0,0,17,6,0.194552529182879,0.217898832684825,0,0,0,0,0,56,0,1909,121
FALSE,FALSE,Coonie Blank,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,122
FALSE,FALSE,Wally Clement,2,379,35,96,11,4,0,18,13,0.253298153034301,0.303430079155673,0,0,0,0,0,115,0,1909,124
FALSE,FALSE,Red Downey,1,78,7,20,1,0,0,8,4,0.256410256410256,0.269230769230769,0,0,0,0,0,21,0,1909,125
FALSE,FALSE,Joe Dunn,2,89,4,15,4,0,0,7,0,0.168539325842697,0.213483146067416,0,0,0,0,0,19,0,1909,127
FALSE,FALSE,Charlie Enwright,1,7,1,1,0,0,0,1,0,0.142857142857143,0.142857142857143,0,0,0,0,0,1,0,1909,128
FALSE,FALSE,Bill Dam,1,2,1,1,1,0,0,0,0,0.5,1,0,0,0,0,0,2,0,1909,130
FALSE,FALSE,Walt Devoy,1,69,7,17,3,1,0,8,4,0.246376811594203,0.318840579710145,0,0,0,0,0,22,0,1909,131
FALSE,FALSE,Willis Cole,2,245,23,53,9,4,0,18,3,0.216326530612245,0.285714285714286,0,0,0,0,0,70,0,1910,133
FALSE,FALSE,Bill Cooney,2,22,2,6,0,0,0,1,0,0.272727272727273,0.272727272727273,0,0,0,0,0,6,0,1910,134
FALSE,FALSE,Tom Crooke,2,28,3,6,2,0,0,3,1,0.214285714285714,0.285714285714286,0,0,0,0,0,8,0,1910,136
FALSE,FALSE,Mickey Corcoran,1,46,3,10,3,0,0,7,0,0.217391304347826,0.282608695652174,0,0,0,0,0,13,0,1910,137
FALSE,FALSE,Frank Betcher,1,89,7,18,2,0,0,6,1,0.202247191011236,0.224719101123595,0,0,0,0,0,20,0,1910,139
FALSE,FALSE,Red Bowser,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,140
FALSE,FALSE,Ody Abbott,1,70,2,13,2,1,0,6,3,0.185714285714286,0.242857142857143,0,0,0,0,0,17,0,1910,142
