InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Ray Poole,2,15,1,3,0,0,0,1,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,3,1947,2631
FALSE,FALSE,Skeeter Newsome,12,3716,381,910,164,15,9,292,67,0.24488697524219591,0.30435952637244351,0,0,0,0,0,1319,1947,2634
FALSE,FALSE,Frank Mancuso,4,1002,85,241,37,7,5,98,2,0.2405189620758483,0.30638722554890219,0,0,0,0,0,356,1947,2637
FALSE,FALSE,Ray Mack,9,2707,273,629,113,24,34,278,35,0.2323605467306982,0.32951606944957518,1,0,0,0,0,1063,1947,2640
FALSE,FALSE,Chet Laabs,11,3102,467,813,151,44,117,509,32,0.26208897485493232,0.45228884590586715,1,0,0,0,0,1715,1947,2643
FALSE,FALSE,Eddie McGah,2,51,3,8,1,1,0,3,0,0.15686274509803921,0.21568627450980393,0,0,0,0,0,13,1947,2646
FALSE,FALSE,Hank Ruszkowski,3,84,8,20,2,0,3,10,0,0.23809523809523808,0.36904761904761907,0,0,0,0,0,36,1947,2649
FALSE,FALSE,Culley Rikard,3,396,64,107,19,5,4,37,1,0.27020202020202022,0.37373737373737376,0,0,0,0,0,176,1947,2652
FALSE,FALSE,Bennie Warren,6,989,97,217,26,7,33,104,1,0.21941354903943378,0.35995955510616784,0,0,0,0,0,422,1947,2655
FALSE,FALSE,Whitey Wietelmann,9,1762,170,409,55,6,7,122,14,0.23212258796821797,0.28206583427922816,0,0,0,0,0,565,1947,2658
FALSE,FALSE,Joe Stephenson,3,67,8,12,1,0,0,4,1,0.17910447761194029,0.19402985074626863,0,0,0,0,0,14,1947,2661
FALSE,FALSE,Tommy Tatum,2,194,20,50,6,2,1,17,7,0.25773195876288663,0.32474226804123707,0,0,0,0,0,72,1947,2664
FALSE,FALSE,Gene Handley,2,341,41,86,10,6,0,29,9,0.25219941348973607,0.31671554252199413,0,0,0,0,0,124,1947,2667
FALSE,FALSE,Tom Kirk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,2670
FALSE,FALSE,Roy Jarvis,3,50,4,8,1,0,1,4,0,0.16,0.23999999999999999,0,0,0,0,0,14,1947,2673
FALSE,FALSE,Lou Finney,15,4631,643,1329,203,85,31,494,39,0.28697905419995678,0.38760526884042323,1,0,0,0,0,2114,1947,2676
FALSE,FALSE,Gary Gearhart,1,179,26,44,9,0,6,17,1,0.24581005586592178,0.39664804469273746,0,0,0,0,0,86,1947,2682
FALSE,FALSE,Dick Adams,1,89,9,18,2,3,2,11,0,0.20224719101123595,0.35955056179775285,0,0,0,0,0,39,1947,2685
FALSE,FALSE,Heinz Becker,4,358,45,94,18,3,2,47,1,0.26256983240223464,0.34636871508379891,0,0,0,0,0,147,1947,2688
FALSE,FALSE,Dom Dallessandro,8,1945,242,520,110,23,22,303,16,0.26735218508997427,0.38149100257069407,0,0,0,0,0,897,1947,2691
FALSE,FALSE,George Dickey,6,494,36,101,12,0,4,54,4,0.20445344129554655,0.25303643724696356,0,0,0,0,0,141,1947,2694
FALSE,FALSE,Frank Colman,6,571,66,130,25,8,15,106,0,0.22767075306479859,0.37828371278458844,0,0,0,0,0,264,1947,2697
FALSE,FALSE,Jack Conway,4,359,35,80,10,3,1,27,2,0.22284122562674094,0.27576601671309192,0,0,0,0,0,113,1948,2700
FALSE,FALSE,Jeff Cross,4,142,22,23,4,0,0,10,4,0.1619718309859155,0.19014084507042253,0,0,0,0,0,31,1948,2703
FALSE,FALSE,Leon Culberson,6,1217,148,324,59,18,14,131,27,0.26622843056696799,0.3788003286770748,0,0,0,0,0,552,1948,2706
FALSE,FALSE,George Binks,5,1093,112,277,55,10,8,130,21,0.25343092406221407,0.34400731930466605,0,0,0,0,0,449,1948,2709
FALSE,FALSE,Don Gutteridge,12,4202,586,1075,200,64,39,391,95,0.25583055687767731,0.36173250832936699,0,0,0,0,0,1823,1948,2712
FALSE,FALSE,Lonny Frey,14,5517,848,1482,263,69,61,549,105,0.26862425231103859,0.37447888345115099,3,0,0,0,0,2459,1948,2715
FALSE,FALSE,Jake Jones,5,790,80,181,31,5,23,117,8,0.22911392405063291,0.3683544303797468,0,0,0,0,0,350,1948,2718
FALSE,FALSE,Chuck Stevens,3,732,89,184,29,8,4,55,6,0.25136612021857924,0.32923497267759566,0,0,0,0,0,282,1948,2721
FALSE,FALSE,Frank Whitman,2,22,7,1,0,0,0,1,0,4.5454545454545456E-2,4.5454545454545456E-2,0,0,0,0,0,1,1948,2724
FALSE,FALSE,Jack Wallaesa,5,584,56,120,17,4,15,61,3,0.20547945205479451,0.32534246575342463,0,0,0,0,0,226,1948,2727
FALSE,FALSE,Howie Schultz,6,1588,163,383,85,7,24,208,15,0.24118387909319899,0.34886649874055414,0,0,0,0,0,670,1948,2730
FALSE,FALSE,George McQuinn,12,5747,832,1588,315,64,135,794,32,0.27631807899773791,0.42387332521315474,7,0,0,0,0,2950,1948,2733
FALSE,FALSE,Frank McCormick,13,5723,722,1711,334,26,128,951,27,0.29896907216494845,0.43351389131574347,9,1,0,0,0,2969,1948,2736
FALSE,FALSE,Johnny McCarthy,11,1557,182,432,72,16,25,209,8,0.27745664739884396,0.39242132305716121,0,0,0,0,0,724,1948,2739
FALSE,FALSE,Pete Layden,1,104,11,26,2,1,0,4,4,0.25,0.28846153846153844,0,0,0,0,0,33,1948,2742
FALSE,FALSE,Ray Lamanno,5,1408,122,355,57,5,18,150,2,0.25213068181818182,0.33806818181818182,1,0,0,0,0,556,1948,2745
FALSE,TRUE,Terry Moore,11,4700,719,1318,263,28,80,513,82,0.28042553191489361,0.39936170212765959,4,0,0,0,0,2248,1948,2748
FALSE,FALSE,Roy Partee,5,1090,89,273,41,5,2,114,2,0.25045871559633032,0.30275229357798167,0,0,0,0,0,378,1948,2751
FALSE,TRUE,Rudy York,13,5891,876,1621,291,52,277,1152,38,0.27516550670514345,0.48327957901884233,7,0,0,0,0,3467,1948,2754
FALSE,FALSE,Taffy Wright,9,3583,465,1115,175,55,38,553,32,0.31119173876639689,0.42255093497069496,0,0,0,0,0,1782,1949,2757
FALSE,FALSE,Hal Peck,7,1092,136,305,52,13,15,112,10,0.27930402930402931,0.39194139194139194,0,0,0,0,0,508,1949,2760
FALSE,FALSE,Al Naples,1,7,0,1,1,0,0,0,0,0.14285714285714285,0.2857142857142857,0,0,0,0,0,3,1949,2763
FALSE,FALSE,Steve Kuczek,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,3,1949,2766
FALSE,FALSE,Buddy Lewis,11,5261,830,1563,249,93,71,607,83,0.29709180764113285,0.42026230754609389,2,0,0,0,0,2624,1949,2769
FALSE,FALSE,Hank Riebe,4,137,2,29,4,0,0,11,1,0.21167883211678834,0.24087591240875914,0,0,0,0,0,37,1949,2772
FALSE,FALSE,Ed Sauer,4,457,45,117,25,2,5,57,3,0.25601750547045948,0.35229759299781183,0,0,0,0,0,193,1949,2775
FALSE,FALSE,John Simmons,1,93,12,20,0,0,0,5,0,0.21505376344086022,0.21505376344086022,0,0,0,0,0,20,1949,2778
FALSE,FALSE,Sam Vico,2,663,65,166,28,11,12,76,2,0.25037707390648567,0.3800904977375566,0,0,0,0,0,303,1949,2781
FALSE,FALSE,Don White,2,422,41,98,20,2,1,38,2,0.23222748815165875,0.29620853080568721,0,0,0,0,0,148,1949,2784
FALSE,FALSE,Mike Tresh,12,3169,326,788,75,14,2,297,19,0.2486588829283686,0.28305459135373939,1,0,0,0,0,988,1949,2787
FALSE,FALSE,Fred Hancock,1,52,7,7,2,1,0,9,0,0.13461538461538464,0.21153846153846154,0,0,0,0,0,14,1949,2790
FALSE,FALSE,Jim Kirby,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,1949,2793
FALSE,FALSE,Les Fleming,7,1330,168,369,69,15,29,199,7,0.27744360902255644,0.41729323308270677,0,0,0,0,0,668,1949,2796
FALSE,FALSE,George Elder,1,44,9,11,3,0,0,2,0,0.25,0.31818181818181818,0,0,0,0,0,17,1949,2799
FALSE,FALSE,Bill Baker,7,588,45,145,25,5,2,68,6,0.24659863945578231,0.31632653061224492,0,0,0,0,0,218,1949,2802
FALSE,FALSE,Hank Biasatti,1,24,6,2,2,0,0,2,0,8.3333333333333343E-2,0.16666666666666669,0,0,0,0,0,6,1949,2805
FALSE,FALSE,Billy Bowers,1,78,5,15,2,1,0,6,1,0.19230769230769232,0.24358974358974356,0,0,0,0,0,22,1949,2808
FALSE,FALSE,Russ Derry,4,553,68,124,17,7,17,73,2,0.22423146473779385,0.37251356238698008,0,0,0,0,0,247,1949,2811
FALSE,FALSE,Clint Conatser,2,376,40,102,15,3,6,39,0,0.27127659574468088,0.375,0,0,0,0,0,165,1949,2814
FALSE,FALSE,Herb Conyers,1,9,2,3,0,0,1,1,1,0.33333333333333337,0.66666666666666674,0,0,0,0,0,7,1950,2817
FALSE,FALSE,Herb Adams,3,337,39,88,8,6,0,18,4,0.26112759643916911,0.32047477744807124,0,0,0,0,0,122,1950,2820
FALSE,FALSE,George Genovese,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,2823
FALSE,FALSE,Al Kozar,3,992,118,252,41,10,6,94,6,0.25403225806451613,0.33366935483870963,0,0,0,0,0,388,1950,2826
FALSE,FALSE,Earl Turner,2,75,10,18,0,0,3,5,1,0.23999999999999999,0.35999999999999999,0,0,0,0,0,30,1950,2829
FALSE,FALSE,Bob Wellman,2,25,2,7,0,1,1,1,0,0.28000000000000003,0.47999999999999998,0,0,0,0,0,14,1950,2832
FALSE,FALSE,Bill Sommers,1,137,24,35,5,1,0,14,0,0.25547445255474455,0.30656934306569344,0,0,0,0,0,48,1950,2835
FALSE,FALSE,Nap Reyes,4,931,90,264,35,11,13,110,5,0.28356605800214824,0.38668098818474755,0,0,0,0,0,419,1950,2838
FALSE,FALSE,Rudy Rufer,2,26,2,2,0,0,0,2,1,7.6923076923076927E-2,7.6923076923076927E-2,0,0,0,0,0,2,1950,2841
FALSE,FALSE,Ed Mierkowicz,4,63,6,11,3,0,1,4,1,0.17460317460317459,0.26984126984126988,0,0,0,0,0,21,1950,2844
FALSE,FALSE,Walt Linden,1,5,0,2,1,0,0,0,0,0.40000000000000002,0.59999999999999998,0,0,0,0,0,4,1950,2847
FALSE,FALSE,Roberto Ortiz,6,659,67,168,18,10,8,78,4,0.25493171471927162,0.34901365705614568,0,0,0,0,0,266,1950,2850
FALSE,FALSE,Johnny Ostrowski,7,561,73,131,20,9,14,74,7,0.23351158645276293,0.37611408199643492,0,0,0,0,0,254,1950,2853
FALSE,FALSE,Luis Olmo,6,1629,208,458,65,25,29,272,33,0.28115408225905464,0.40515653775322286,0,0,0,0,0,779,1951,2856
FALSE,FALSE,Wally Moses,17,7356,1124,2138,435,110,89,679,174,0.29064709081022294,0.41598694942903752,2,0,0,0,0,3694,1951,2859
FALSE,FALSE,Joe Lutz,1,36,7,6,0,1,0,2,0,0.16666666666666669,0.22222222222222224,0,0,0,0,0,9,1951,2862
FALSE,FALSE,Danny Litwhiler,11,3494,428,982,162,32,107,451,11,0.28105323411562683,0.43760732684602172,1,0,0,0,0,1830,1951,2865
FALSE,FALSE,Jim Russell,10,3595,554,959,175,51,67,428,59,0.266759388038943,0.39972183588317106,0,0,0,0,0,1730,1951,2868
FALSE,FALSE,Buddy Rosar,13,3198,335,836,147,15,18,367,17,0.2614133833646029,0.33364602876798,5,0,0,0,0,1247,1951,2871
FALSE,FALSE,Aaron Robinson,8,1839,208,478,74,11,61,272,0,0.25992387166938552,0.41163675910821101,1,0,0,0,0,903,1951,2874
FALSE,FALSE,Bob Scheffing,8,1357,105,357,53,9,20,187,6,0.26308032424465738,0.35961680176860722,0,0,0,0,0,570,1951,2877
FALSE,FALSE,Kermit Wahl,5,642,58,145,23,6,3,50,3,0.22585669781931464,0.29439252336448601,0,0,0,0,0,221,1951,2880
FALSE,FALSE,Artie Wilson,1,22,2,4,0,0,0,1,2,0.18181818181818182,0.18181818181818182,0,0,0,0,0,4,1951,2883
FALSE,FALSE,Roy Hawes,1,6,0,1,0,0,0,0,0,0.16666666666666669,0.16666666666666669,0,0,0,0,0,1,1951,2886
FALSE,FALSE,Buddy Kerr,9,3631,378,903,145,25,31,333,38,0.24869182043514185,0.32800881299917378,1,0,0,0,0,1392,1951,2889
FALSE,FALSE,Bill Jennings,1,195,20,35,10,2,0,13,1,0.17948717948717949,0.25128205128205128,0,0,0,0,0,61,1951,2892
FALSE,FALSE,Joe Erautt,2,43,3,8,1,0,0,1,0,0.18604651162790697,0.20930232558139536,0,0,0,0,0,10,1951,2895
FALSE,FALSE,Sam Hairston,1,5,1,2,1,0,0,1,0,0.40000000000000002,0.59999999999999998,0,0,0,0,0,4,1951,2898
FALSE,FALSE,Jimmy Bloodworth,11,3519,347,874,160,20,62,451,19,0.24836601307189546,0.35805626598465473,0,0,0,0,0,1502,1951,2901
FALSE,FALSE,Sam Chapman,11,4988,754,1329,210,52,180,773,41,0.26643945469125901,0.43765036086607856,1,0,0,0,0,2625,1951,2904
FALSE,FALSE,Bob Dillinger,6,2904,401,888,123,47,10,213,106,0.30578512396694213,0.3908402203856749,1,0,0,0,0,1315,1951,2907
FALSE,FALSE,Doc Daugherty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,2910
FALSE,FALSE,Jake Crawford,1,11,1,2,1,0,0,0,1,0.18181818181818182,0.27272727272727271,0,0,0,0,0,4,1952,2913
FALSE,FALSE,Ray Coleman,5,1729,208,446,74,33,20,199,19,0.25795257374204744,0.37362637362637363,0,0,0,0,0,773,1952,2916
FALSE,FALSE,Johnny Berardino,11,3028,334,755,167,23,36,387,27,0.24933949801849406,0.35535006605019814,0,0,0,0,0,1302,1952,2919
FALSE,FALSE,Tony Bartirome,1,355,32,78,10,3,0,16,3,0.21971830985915491,0.26478873239436623,0,0,0,0,0,107,1952,2922
FALSE,FALSE,Alex Garbowski,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,2925
FALSE,FALSE,Al Federoff,2,235,14,56,4,2,0,14,1,0.23829787234042552,0.2723404255319149,0,0,0,0,0,70,1952,2928
FALSE,TRUE,Charlie Keller,13,3790,725,1085,166,72,189,760,45,0.28627968337730875,0.51767810026385219,5,0,0,0,0,2389,1952,2931
FALSE,FALSE,Eddie Kazak,5,605,69,165,22,6,11,71,0,0.27272727272727271,0.38347107438016526,1,0,0,0,0,271,1952,2934
FALSE,FALSE,Bill Howerton,4,650,95,178,39,12,22,106,1,0.27384615384615385,0.47230769230769232,0,0,0,0,0,380,1952,2937
FALSE,FALSE,Neal Hertweck,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,2940
FALSE,FALSE,Tom Upton,3,525,60,118,9,9,2,42,8,0.22476190476190477,0.28761904761904761,0,0,0,0,0,171,1952,2943
FALSE,FALSE,Fred Taylor,3,47,5,9,2,0,0,4,0,0.19148936170212766,0.23404255319148939,0,0,0,0,0,13,1952,2946
FALSE,FALSE,Dick Wakefield,9,2132,334,625,102,29,56,315,10,0.29315196998123827,0.44699812382739212,1,0,0,0,0,1140,1952,2949
FALSE,FALSE,Pete Reiser,10,2662,473,786,155,41,58,368,87,0.29526671675432009,0.4496619083395943,3,0,0,0,0,1451,1952,2952
FALSE,FALSE,Joe Rossi,1,145,14,32,0,1,1,6,1,0.22068965517241379,0.25517241379310346,0,0,0,0,0,39,1952,2955
FALSE,FALSE,Cliff Mapes,5,1193,199,289,55,13,38,172,8,0.24224643755238892,0.40569991617770329,0,0,0,0,0,590,1952,2958
FALSE,FALSE,Ken Landenberger,1,5,0,1,0,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,1,1952,2961
FALSE,FALSE,Steve Lembo,2,11,0,2,0,0,0,1,0,0.18181818181818182,0.18181818181818182,0,0,0,0,0,2,1952,2964
FALSE,FALSE,Johnny Pramesa,4,526,29,141,17,3,13,59,0,0.26806083650190116,0.38593155893536124,0,0,0,0,0,236,1952,2967
FALSE,FALSE,Jerry Priddy,11,4720,612,1252,232,46,61,541,44,0.26525423728813557,0.37266949152542372,0,0,0,0,0,2098,1953,2970
FALSE,FALSE,Les Peden,1,28,4,7,1,0,1,1,0,0.25,0.39285714285714285,0,0,0,0,0,13,1953,2973
FALSE,FALSE,Pete Naton,1,12,2,2,0,0,0,1,0,0.16666666666666669,0.16666666666666669,0,0,0,0,0,2,1953,2976
FALSE,FALSE,Jack Lohrke,7,914,125,221,38,9,22,96,9,0.24179431072210064,0.37527352297592997,0,0,0,0,0,412,1953,2979
FALSE,TRUE,Marty Marion,13,5506,602,1448,272,37,36,624,35,0.26298583363603345,0.3454413367235743,8,1,0,0,0,2247,1953,2982
FALSE,FALSE,Barney McCosky,11,4172,664,1301,214,71,24,397,58,0.31184084372003834,0.41442953020134227,0,0,0,0,0,2038,1953,2985
FALSE,FALSE,Mike Sandlock,5,446,34,107,19,2,2,31,2,0.23991031390134529,0.30493273542600896,0,0,0,0,0,159,1953,2988
FALSE,FALSE,Bill Rigney,8,1966,281,510,78,14,41,212,25,0.25940996948118006,0.37589013224821977,1,0,0,0,0,872,1953,2991
FALSE,FALSE,Dick Sisler,8,2606,302,720,118,28,55,360,6,0.27628549501151189,0.40636991557943208,1,0,0,0,0,1260,1953,2994
FALSE,FALSE,Gene Verble,2,198,20,40,3,2,0,17,1,0.20202020202020202,0.23737373737373738,0,0,0,0,0,52,1953,2997
FALSE,FALSE,Spider Wilhelm,1,7,1,2,1,0,0,0,0,0.2857142857142857,0.42857142857142855,0,0,0,0,0,4,1953,3000
FALSE,FALSE,Russ Sullivan,3,150,16,40,8,2,5,12,1,0.26666666666666666,0.44666666666666666,0,0,0,0,0,82,1953,3003
FALSE,FALSE,Dick Teed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,3006
FALSE,FALSE,Gene Hermanski,9,1960,276,533,85,18,46,259,43,0.27193877551020407,0.40408163265306124,0,0,0,0,0,941,1953,3009
FALSE,FALSE,Don Kolloway,12,3993,466,1081,180,30,29,393,76,0.27072376659153519,0.35261707988980717,0,0,0,0,0,1647,1953,3012
FALSE,FALSE,Grant Dunlap,1,17,2,6,0,1,1,3,0,0.3529411764705882,0.6470588235294118,0,0,0,0,0,13,1953,3015
FALSE,FALSE,Les Fusselman,2,71,6,12,4,0,1,3,0,0.16901408450704225,0.26760563380281693,0,0,0,0,0,24,1953,3018
FALSE,FALSE,Tommy Glaviano,5,1008,191,259,55,6,24,108,11,0.25694444444444448,0.39484126984126988,0,0,0,0,0,483,1953,3021
FALSE,FALSE,Bill Antonello,1,43,9,7,1,1,1,4,0,0.16279069767441862,0.30232558139534882,0,0,0,0,0,16,1953,3024
FALSE,FALSE,Loren Babe,2,382,37,85,18,2,2,26,1,0.22251308900523561,0.29581151832460734,0,0,0,0,0,135,1953,3027
FALSE,FALSE,Bruce Barmes,1,5,1,1,0,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,1,1953,3030
FALSE,FALSE,Paul Burris,4,196,15,43,5,0,2,24,0,0.21938775510204081,0.27551020408163268,0,0,0,0,0,61,1953,3033
FALSE,FALSE,Frank Campos,3,147,13,41,9,2,0,13,0,0.27891156462585032,0.36734693877551022,0,0,0,0,0,65,1953,3036
FALSE,FALSE,Yo-Yo Davalillo,1,58,10,17,1,0,0,2,1,0.29310344827586204,0.31034482758620685,0,0,0,0,0,19,1953,3039
FALSE,FALSE,Roy Dietzel,1,21,1,5,0,0,0,1,0,0.23809523809523808,0.23809523809523808,0,0,0,0,0,5,1954,3042
FALSE,FALSE,Neil Berry,7,1087,148,265,28,9,0,74,11,0.24379024839006438,0.28610855565777366,0,0,0,0,0,348,1954,3045
FALSE,FALSE,Gair Allie,1,418,38,83,8,6,3,30,1,0.19856459330143542,0.26794258373205737,0,0,0,0,0,129,1954,3048
FALSE,FALSE,Joe Garagiola,9,1872,198,481,82,16,42,255,5,0.25694444444444448,0.38514957264957267,0,0,0,0,0,861,1954,3051
FALSE,FALSE,Nino Escalera,1,69,15,11,1,1,0,3,1,0.15942028985507245,0.20289855072463767,0,0,0,0,0,16,1954,3054
FALSE,FALSE,Dick Kokos,5,1558,239,410,82,9,59,223,15,0.26315789473684209,0.44094993581514763,0,0,0,0,0,837,1954,3057
FALSE,FALSE,Joe Kirrene,2,27,4,8,1,0,0,4,1,0.29629629629629628,0.33333333333333337,0,0,0,0,0,10,1954,3060
FALSE,FALSE,Gail Henley,1,30,7,9,1,0,1,2,0,0.29999999999999999,0.43333333333333335,0,0,0,0,0,15,1954,3063
FALSE,FALSE,Ebba St. Claire,4,450,39,112,23,2,7,40,2,0.24888888888888888,0.35555555555555551,0,0,0,0,0,192,1954,3066
FALSE,FALSE,Del Wilber,8,720,67,174,35,7,19,115,1,0.24166666666666664,0.3888888888888889,0,0,0,0,0,341,1954,3069
FALSE,FALSE,Bill Serena,6,1239,154,311,57,16,48,198,2,0.25100887812752221,0.43906376109765938,0,0,0,0,0,665,1954,3072
FALSE,FALSE,Hal Rice,7,1183,129,307,52,12,19,162,1,0.2595097210481826,0.37193575655114119,0,0,0,0,0,523,1954,3075
FALSE,FALSE,George Metkovich,10,3585,476,934,167,36,47,373,61,0.2605299860529986,0.36652719665271966,0,0,0,0,0,1564,1954,3078
FALSE,FALSE,Johnny Lipon,9,2661,351,690,95,24,10,266,28,0.2593010146561443,0.32431416760616311,0,0,0,0,0,992,1954,3081
FALSE,FALSE,Don Lenhardt,5,1481,192,401,64,9,61,239,6,0.27076299797434167,0.44969615124915602,0,0,0,0,0,800,1954,3084
FALSE,FALSE,Dick Murphy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,3087
FALSE,FALSE,Eddie Pellagrini,8,1423,167,321,42,13,20,133,13,0.22557976106816582,0.31553056921995781,0,0,0,0,0,524,1954,3090
FALSE,FALSE,Billy Queen,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,3093
FALSE,FALSE,Don Plarski,1,11,0,1,0,0,0,0,1,9.0909090909090912E-2,9.0909090909090912E-2,0,0,0,0,0,1,1955,3096
FALSE,FALSE,Felipe Montemayor,2,150,15,26,5,3,2,10,1,0.17333333333333331,0.28666666666666663,0,0,0,0,0,53,1955,3099
FALSE,FALSE,Jesse Levan,3,35,5,10,0,0,1,5,0,0.2857142857142857,0.37142857142857144,0,0,0,0,0,14,1955,3102
FALSE,FALSE,Hank Majeski,13,3421,404,956,181,27,57,501,10,0.2794504530838936,0.39812920198772289,0,0,0,0,0,1627,1955,3105
FALSE,FALSE,Lloyd Merriman,5,1202,140,291,64,12,12,117,20,0.24209650582362727,0.34525790349417634,0,0,0,0,0,503,1955,3108
FALSE,FALSE,Willard Marshall,11,4233,583,1160,163,39,130,604,14,0.27403732577368295,0.42310418143160877,3,0,0,0,0,2123,1955,3111
FALSE,FALSE,Kal Segrist,2,32,4,4,0,0,0,1,0,0.125,0.125,0,0,0,0,0,4,1955,3114
FALSE,FALSE,Danny Schell,2,274,25,77,14,3,7,33,0,0.28102189781021897,0.43065693430656932,0,0,0,0,0,142,1955,3117
FALSE,FALSE,Milt Smith,1,102,15,20,3,1,3,8,2,0.19607843137254902,0.33333333333333337,0,0,0,0,0,41,1955,3120
FALSE,FALSE,Eddie Waitkus,11,4254,528,1214,215,44,24,373,28,0.28537846732487071,0.37353079454630939,2,0,0,0,0,1872,1955,3123
FALSE,FALSE,Ed White,1,4,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2,1955,3126
FALSE,FALSE,Bill Wilson,4,654,87,145,23,1,32,77,2,0.22171253822629969,0.40672782874617736,0,0,0,0,0,322,1955,3129
FALSE,FALSE,Pete Suder,13,5085,469,1268,210,44,49,541,19,0.24936086529006884,0.3368731563421829,0,0,0,0,0,2016,1955,3132
FALSE,FALSE,Bob Stephenson,1,111,19,27,3,0,0,6,2,0.24324324324324326,0.27027027027027029,0,0,0,0,0,33,1955,3135
FALSE,FALSE,Nick Koback,3,33,1,4,0,1,0,0,0,0.12121212121212122,0.18181818181818182,0,0,0,0,0,7,1955,3138
FALSE,FALSE,Eddie Joost,17,5606,874,1339,238,35,134,601,61,0.23885123082411699,0.36550124866214767,2,0,0,0,0,2456,1955,3141
FALSE,FALSE,Harry Elliott,2,176,15,45,10,1,2,18,0,0.25568181818181818,0.35795454545454547,0,0,0,0,0,76,1955,3144
FALSE,FALSE,Mickey Grasso,7,957,78,216,23,1,5,87,2,0.22570532915360503,0.26750261233019851,0,0,0,0,0,285,1955,3147
FALSE,FALSE,Joe Brovia,1,18,0,2,0,0,0,4,0,0.11111111111111112,0.11111111111111112,0,0,0,0,0,2,1955,3150
FALSE,FALSE,Don Bollweg,5,452,62,110,22,7,11,53,2,0.24336283185840707,0.39601769911504425,0,0,0,0,0,219,1955,3153
FALSE,FALSE,Juan Delis,1,132,12,25,3,1,0,11,1,0.18939393939393939,0.22727272727272727,0,0,0,0,0,34,1955,3156
FALSE,FALSE,Billy Cox,11,3712,470,974,174,32,66,351,42,0.26239224137931033,0.37984913793103448,0,0,0,0,0,1682,1955,3159
FALSE,FALSE,Bobby Balcena,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,3162
FALSE,FALSE,Cal Abrams,8,1611,257,433,64,19,32,138,12,0.26877715704531346,0.39168218497827434,0,0,0,0,0,746,1956,3165
FALSE,FALSE,Jim Greengrass,5,1793,243,482,82,16,69,282,6,0.26882320133853876,0.44785276073619629,0,0,0,0,0,970,1956,3168
FALSE,FALSE,Jim Dyck,6,983,139,242,52,5,26,114,4,0.24618514750762971,0.38860630722278738,0,0,0,0,0,465,1956,3171
FALSE,FALSE,Owen Friend,5,598,69,136,24,2,13,76,2,0.22742474916387961,0.33946488294314381,0,0,0,0,0,242,1956,3174
FALSE,FALSE,Earl Hersh,1,13,0,3,3,0,0,0,0,0.23076923076923075,0.46153846153846151,0,0,0,0,0,9,1956,3177
FALSE,FALSE,Hank Thompson,9,3003,492,801,104,34,129,482,33,0.26673326673326675,0.45288045288045287,0,0,0,0,0,1627,1956,3180
FALSE,FALSE,Wally Westlake,10,3117,474,848,107,33,127,539,19,0.27205646454924604,0.44979146615335258,1,0,0,0,0,1669,1956,3183
FALSE,FALSE,Bill Sarni,5,1182,107,311,50,11,22,151,6,0.26311336717428085,0.37986463620981387,0,0,0,0,0,532,1956,3186
FALSE,FALSE,Al Rosen,10,3725,603,1063,165,20,192,717,39,0.28536912751677856,0.49503355704697988,4,1,0,0,0,2221,1956,3192
FALSE,FALSE,Sam Mele,10,3437,406,916,168,39,80,544,15,0.26651149258073903,0.40791387838231014,0,0,0,0,0,1689,1956,3195
FALSE,FALSE,Dale Mitchell,11,3984,555,1244,169,61,41,403,45,0.31224899598393574,0.41616465863453816,2,0,0,0,0,1929,1956,3198
FALSE,FALSE,Ernie Oravetz,2,400,44,105,8,3,0,36,2,0.26250000000000001,0.29749999999999999,0,0,0,0,0,130,1956,3201
FALSE,FALSE,Carlos Paula,3,457,44,124,23,8,9,60,2,0.2713347921225383,0.41575492341356673,0,0,0,0,0,230,1956,3204
FALSE,FALSE,Tom Wright,9,685,75,175,28,11,6,99,2,0.25547445255474455,0.35474452554744523,0,0,0,0,0,288,1956,3207
FALSE,FALSE,Jack Phillips,9,892,111,252,42,16,9,101,5,0.28251121076233188,0.39573991031390138,0,0,0,0,0,420,1957,3210
