InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Russ Scarritt,4,1037,119,296,44,25,3,120,17,0.28543876567020254,0.38476374156219861,0,0,0,0,0,471,1932,1746
FALSE,FALSE,Carey Selph,2,447,58,124,20,9,0,58,8,0.27740492170022368,0.36241610738255031,0,0,0,0,0,191,1932,1749
FALSE,FALSE,Johnny Lucas,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,1752
FALSE,FALSE,Doc Marshall,4,658,72,170,21,6,0,61,2,0.25835866261398177,0.30851063829787234,0,0,0,0,0,230,1932,1755
FALSE,FALSE,Art McLarney,1,23,2,3,1,0,0,3,0,0.13043478260869565,0.17391304347826086,0,0,0,0,0,5,1932,1758
FALSE,FALSE,Hank Patterson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,1761
FALSE,FALSE,Danny Musser,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,1932,1764
FALSE,FALSE,Marv Olson,3,457,67,110,15,6,0,30,1,0.24070021881838075,0.29978118161925599,0,0,0,0,0,158,1933,1767
FALSE,FALSE,Chink Outen,1,153,20,38,10,0,4,17,1,0.24836601307189546,0.39215686274509803,0,0,0,0,0,74,1933,1770
FALSE,FALSE,Jim McLeod,3,266,24,54,7,1,0,16,2,0.2030075187969925,0.23684210526315791,0,0,0,0,0,71,1933,1773
FALSE,FALSE,Joe Sprinz,3,53,6,9,1,0,0,2,0,0.16981132075471697,0.18867924528301888,0,0,0,0,0,11,1933,1776
FALSE,FALSE,Harry Rice,10,3740,620,1118,186,63,48,506,59,0.29893048128342248,0.42085561497326202,0,0,0,0,0,1871,1933,1779
FALSE,FALSE,John Stoneham,1,25,4,3,0,0,1,3,0,0.12,0.23999999999999999,0,0,0,0,0,7,1933,1782
FALSE,FALSE,Hugh Willingham,4,42,7,10,2,1,1,3,0,0.23809523809523808,0.40476190476190477,0,0,0,0,0,21,1933,1785
FALSE,FALSE,Eddie Hunter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,1788
FALSE,FALSE,Smead Jolley,4,1710,188,521,111,21,46,313,5,0.30467836257309944,0.47485380116959069,0,0,0,0,0,990,1933,1791
FALSE,FALSE,Johnny Gooch,11,2363,227,662,98,29,7,293,11,0.28015234870926786,0.35505713076597545,0,0,0,0,0,973,1933,1794
FALSE,FALSE,Bob Fothergill,12,3269,453,1064,225,52,36,582,42,0.32548179871520344,0.45916182318751914,0,0,0,0,0,1814,1933,1797
FALSE,FALSE,Bernie Friberg,14,4169,544,1170,181,44,38,471,51,0.28064284000959461,0.37251139361957303,0,0,0,0,0,1816,1933,1800
FALSE,FALSE,Del Bissonette,5,2291,359,699,117,50,66,391,17,0.30510694020078566,0.4862505456132693,0,0,0,0,0,1347,1933,1803
FALSE,FALSE,Harley Boss,4,519,64,139,19,8,1,61,2,0.26782273603082851,0.34104046242774572,0,0,0,0,0,205,1933,1806
FALSE,FALSE,Taylor Douthit,11,4127,665,1201,220,38,29,396,67,0.29101041919069542,0.38381390840804458,0,0,0,0,0,1871,1933,1809
FALSE,FALSE,Alta Cohen,3,67,8,13,2,0,0,2,0,0.19402985074626863,0.22388059701492535,0,0,0,0,0,17,1933,1812
FALSE,FALSE,Al Wright,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1933,1815
FALSE,FALSE,Earl Clark,8,826,122,240,41,7,4,81,11,0.29055690072639229,0.37167070217917675,0,0,0,0,0,359,1934,1818
FALSE,FALSE,Joe Chamberlain,1,141,13,34,5,1,2,17,1,0.24113475177304966,0.33333333333333337,0,0,0,0,0,55,1934,1821
FALSE,FALSE,Milt Bocek,2,60,6,16,2,0,1,6,0,0.26666666666666666,0.34999999999999998,0,0,0,0,0,24,1934,1824
FALSE,FALSE,Sparky Adams,13,5557,844,1588,249,48,9,394,154,0.28576570091776138,0.35270829584308083,0,0,0,0,0,2266,1934,1827
FALSE,FALSE,Jake Flowers,10,1693,229,433,75,18,16,201,58,0.25575900767867688,0.34967513290017721,0,0,0,0,0,701,1934,1830
FALSE,FALSE,George Grantham,13,4989,912,1508,292,93,105,712,132,0.30226498296251758,0.4612146722790138,0,0,0,0,0,2791,1934,1833
FALSE,TRUE,Joe Judge,20,7898,1184,2352,433,159,71,1034,213,0.29779691061028107,0.4198531273740187,0,0,0,0,0,3979,1934,1836
FALSE,FALSE,Gordie Hinkle,1,75,7,13,6,1,0,9,0,0.17333333333333331,0.28000000000000003,0,0,0,0,0,28,1934,1839
FALSE,FALSE,Dutch Holland,3,315,37,86,26,2,3,34,1,0.27301587301587305,0.39682539682539686,0,0,0,0,0,156,1934,1842
FALSE,FALSE,Francis Healy,4,54,9,13,3,0,0,5,0,0.24074074074074076,0.29629629629629628,0,0,0,0,0,19,1934,1845
FALSE,FALSE,Pat Veltman,6,38,4,5,0,1,0,2,0,0.13157894736842105,0.18421052631578946,0,0,0,0,0,8,1934,1848
