FALSE,FALSE,Pat Kelly,15,4338,620,1147,189,35,76,418,250,.264,.377,1,0,0,0,0,1634,0,1981,kellypa01,50,5529,4744
FALSE,FALSE,Joe Quest,10,2295,300,499,78,17,1,161,5,.217,.268,0,0,0,0,0,614,0,1886,questjo01,51,5529,4744
FALSE,FALSE,Connie Ryan,12,3982,535,988,181,42,56,381,69,.248,.357,1,0,0,0,0,1421,0,1954,ryanco01,53,5529,4744
FALSE,FALSE,John Doherty,2,317,27,76,17,1,4,27,3,.240,.338,0,0,0,0,0,107,0,1975,doherjo01,54,5529,4744
FALSE,FALSE,Charlie Hoover,2,268,44,67,2,5,1,26,9,.250,.306,0,0,0,0,0,82,0,1889,hoovech01,55,5529,4744
FALSE,FALSE,Norm Zauchin,6,1038,134,242,28,2,50,159,5,.233,.408,0,0,0,0,0,424,0,1959,zauchno01,57,5529,4744
FALSE,FALSE,Don Lund,7,753,91,181,36,8,15,86,5,.240,.369,0,0,0,0,0,278,0,1954,lunddo01,58,5529,4744
FALSE,FALSE,Valmy Thomas,5,626,56,144,20,3,12,60,2,.230,.329,0,0,0,0,0,206,0,1961,thomava01,59,5529,4744
FALSE,FALSE,Billy Harrell,4,342,54,79,7,1,8,26,17,.231,.327,0,0,0,0,0,112,0,1961,harrebi01,61,5529,4744
FALSE,FALSE,Joe Collins,10,2329,404,596,79,24,86,329,27,.256,.421,0,0,0,0,0,981,0,1957,collijo01,62,5529,4744
FALSE,FALSE,Dave Bergman,17,2679,312,690,100,16,54,289,19,.258,.367,0,0,0,0,0,984,0,1992,bergmda01,63,5529,4744
FALSE,FALSE,Walter Schmidt,10,2411,216,619,63,20,3,234,57,.257,.303,0,0,0,0,0,731,2,1925,schmiwa01,65,5529,4744
FALSE,FALSE,Frank Kellert,4,247,25,57,9,3,8,37,0,.231,.389,0,0,0,0,0,96,0,1956,kellefr02,66,5529,4744
FALSE,FALSE,Herb Adams,3,337,39,88,8,6,0,18,4,.261,.320,0,0,0,0,0,108,0,1950,adamshe01,67,5529,4744
FALSE,FALSE,Ernie Fazio,3,274,37,50,10,4,2,8,5,.182,.270,0,0,0,0,0,74,0,1966,fazioer01,69,5529,4744
FALSE,FALSE,Terry Whitfield,10,1913,233,537,93,12,33,179,18,.281,.394,0,0,0,0,0,753,0,1986,whitfte01,70,5529,4744
FALSE,FALSE,Ryan McGuire,6,631,64,133,34,4,7,55,3,.211,.311,0,0,0,0,0,196,0,2002,mcguiry01,71,5529,4744
FALSE,FALSE,Johnny Mokan,7,1936,282,563,98,17,32,273,26,.291,.409,0,0,0,0,0,791,0,1927,mokanjo01,73,5529,4744
FALSE,FALSE,Billy Redmond,3,281,29,62,11,0,0,25,3,.221,.260,0,0,0,0,0,73,0,1878,redmobi01,74,5529,4744
