InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Yasmany Tomas,4,1108,131,295,2,3,48,163,7,0.266245487364621,0.459386281588448,0,0,0,0,0,622,2019,8243
FALSE,FALSE,Charlie Tilson,3,252,23,62,2,3,1,23,6,0.246031746031746,0.28968253968254,0,0,0,0,0,81,2019,8245
FALSE,FALSE,Sam Travis,3,256,35,59,2,3,7,24,3,0.23046875,0.37109375,0,0,0,0,0,116,2019,8246
FALSE,FALSE,Mark Trumbo,10,4085,532,1018,2,3,218,629,23,0.249204406364749,0.459241126070991,2,0,0,0,0,2287,2019,8248
FALSE,FALSE,Jose Trevino,2,128,18,33,2,3,2,16,0,0.2578125,0.375,0,0,0,0,0,59,2019,8249
FALSE,FALSE,Kyle Tucker,2,131,25,27,2,3,4,15,6,0.206106870229008,0.374045801526718,0,0,0,0,0,62,2019,8251
FALSE,FALSE,Cole Tucker,1,147,16,31,2,3,2,13,0,0.210884353741497,0.360544217687075,0,0,0,0,0,68,2019,8252
FALSE,FALSE,Trea Turner,5,1944,332,566,2,3,63,216,159,0.291152263374486,0.467078189300412,0,0,0,0,0,1099,2019,8254
FALSE,FALSE,Lane Thomas,1,38,6,12,2,3,4,12,1,0.315789473684211,0.684210526315789,0,0,0,0,0,31,2019,8255
FALSE,FALSE,Eric Thames,5,1745,276,426,2,3,93,223,17,0.244126074498567,0.477936962750716,0,0,0,0,0,1039,2019,8257
FALSE,FALSE,Rowdy Tellez,2,440,59,106,2,3,25,68,1,0.240909090909091,0.475,0,0,0,0,0,262,2019,8258
FALSE,FALSE,Michael Taylor,6,1572,193,377,2,3,48,168,77,0.239821882951654,0.393129770992366,0,0,0,0,0,755,2019,8260
FALSE,FALSE,Tyrone Taylor,1,10,1,4,2,3,0,1,0,0.4,0.6,0,0,0,0,0,8,2019,8261
FALSE,FALSE,Fernando Tatis,1,334,61,106,2,3,22,53,16,0.317365269461078,0.589820359281437,0,0,0,0,0,238,2019,8263
FALSE,FALSE,Beau Taylor,2,30,3,5,2,3,2,2,0,0.166666666666667,0.4,0,0,0,0,0,15,2019,8264
FALSE,FALSE,Kurt Suzuki,13,5094,552,1317,2,3,131,682,19,0.258539458186101,0.392029839026305,1,0,0,0,0,2409,2019,8266
FALSE,FALSE,Dansby Swanson,4,1578,207,387,2,3,40,192,26,0.245247148288973,0.385297845373891,0,0,0,0,0,739,2019,8267
FALSE,FALSE,Raimel Tapia,4,649,91,178,2,3,12,69,17,0.274268104776579,0.411402157164869,0,0,0,0,0,324,2019,8269
FALSE,FALSE,Garrett Stubbs,1,35,8,7,2,3,0,2,1,0.2,0.285714285714286,0,0,0,0,0,13,2019,8270
FALSE,FALSE,Jesus Sucre,7,659,50,146,2,3,10,69,3,0.22154779969651,0.301972685887709,0,0,0,0,0,232,2019,8272
FALSE,FALSE,Myles Straw,2,117,31,32,2,3,1,8,10,0.273504273504274,0.367521367521368,0,0,0,0,0,50,2019,8273
FALSE,FALSE,Derek Fisher,3,371,57,71,2,3,16,45,10,0.191374663072776,0.369272237196765,0,0,0,0,0,167,2019,8275
FALSE,FALSE,Ryan Flaherty,8,1324,152,284,2,3,37,142,10,0.214501510574018,0.345166163141994,0,0,0,0,0,551,2019,8276
FALSE,FALSE,Tim Federowicz,8,406,31,78,2,3,12,39,1,0.192118226600985,0.327586206896552,0,0,0,0,0,164,2019,8278
FALSE,FALSE,Kyle Farmer,3,271,24,64,2,3,9,38,4,0.236162361623616,0.383763837638376,0,0,0,0,0,125,2019,8279
FALSE,FALSE,Logan Forsythe,9,3086,387,758,2,3,70,305,42,0.245625405055087,0.370382372002592,0,0,0,0,0,1375,2019,8281
FALSE,FALSE,Jake Fraley,1,40,3,6,2,3,0,1,0,0.15,0.2,0,0,0,0,0,10,2019,8282
FALSE,FALSE,Ty France,1,184,20,43,2,3,7,24,0,0.233695652173913,0.402173913043478,0,0,0,0,0,90,2019,8284
FALSE,FALSE,Mike Ford,1,143,30,37,2,3,12,25,0,0.258741258741259,0.559440559440559,0,0,0,0,0,99,2019,8285
FALSE,FALSE,Tyler Flowers,11,2387,262,567,2,3,85,296,2,0.237536656891496,0.392542940930038,0,0,0,0,0,1132,2019,8287
FALSE,FALSE,Adam Frazier,4,1424,208,398,2,3,28,149,19,0.279494382022472,0.419943820224719,0,0,0,0,0,726,2019,8288
FALSE,FALSE,Todd Frazier,9,4200,585,1019,2,3,214,624,72,0.242619047619048,0.450238095238095,2,0,0,0,0,2321,2019,8290
FALSE,FALSE,Mike Freeman,4,259,34,60,2,3,5,26,1,0.231660231660232,0.332046332046332,0,0,0,0,0,102,2019,8291
FALSE,FALSE,David Freitas,3,125,13,25,2,3,1,8,0,0.2,0.288,0,0,0,0,0,45,2019,8293
FALSE,FALSE,Freddie Freeman,10,4953,798,1451,2,3,227,805,43,0.29295376539471,0.503735110034323,4,0,0,0,0,3063,2019,8294
FALSE,FALSE,Erik Gonzalez,4,404,52,105,2,3,6,33,8,0.25990099009901,0.363861386138614,0,0,0,0,0,175,2019,8296
FALSE,FALSE,Carlos Gonzalez,12,5033,821,1432,2,3,234,785,122,0.284522153785019,0.499900655672561,3,0,0,3,0,3092,2019,8297
FALSE,FALSE,Carlos Gomez,13,4724,675,1189,2,3,145,546,268,0.251693480101609,0.411092294665538,2,0,0,1,0,2364,2019,8299
FALSE,FALSE,Yan Gomes,8,2548,306,623,2,3,99,351,4,0.244505494505494,0.419544740973312,1,0,0,0,0,1311,2019,8300
FALSE,FALSE,Ryan Goins,7,1536,150,353,2,3,22,158,6,0.229817708333333,0.334635416666667,0,0,0,0,0,619,2019,8302
FALSE,FALSE,Scooter Gennett,7,2704,365,773,2,3,87,360,24,0.285872781065089,0.449334319526627,1,0,0,0,0,1467,2019,8303
FALSE,FALSE,Mitch Garver,3,659,113,175,2,3,38,115,0,0.265553869499241,0.511380880121396,0,0,0,0,0,417,2019,8305
FALSE,FALSE,Brett Gardner,12,5220,876,1355,2,3,124,524,267,0.259578544061303,0.40095785440613,1,0,0,1,0,2515,2019,8306
FALSE,FALSE,Kyle Garlick,1,48,8,12,2,3,3,6,0,0.25,0.520833333333333,0,0,0,0,0,32,2019,8308
FALSE,FALSE,Aramis Garcia,2,105,13,24,2,3,6,14,0,0.228571428571429,0.419047619047619,0,0,0,0,0,52,2019,8309
FALSE,FALSE,Robel Garcia,1,72,8,15,2,3,5,11,0,0.208333333333333,0.5,0,0,0,0,0,45,2019,8311
FALSE,FALSE,Leury Garcia,7,1443,186,370,2,3,23,119,56,0.256410256410256,0.356895356895357,0,0,0,0,0,603,2019,8312
FALSE,FALSE,Cam Gallagher,3,213,21,49,2,3,5,24,0,0.230046948356808,0.352112676056338,0,0,0,0,0,91,2019,8314
FALSE,FALSE,Ben Gamel,4,1125,161,296,2,3,20,116,13,0.263111111111111,0.386666666666667,0,0,0,0,0,525,2019,8315
FALSE,FALSE,Joey Gallo,5,1323,239,281,2,3,110,236,18,0.212396069538927,0.516250944822373,1,0,0,0,0,859,2019,8317
FALSE,FALSE,Freddy Galvis,8,3424,365,849,2,3,88,370,55,0.247955607476636,0.384345794392523,0,0,0,0,0,1581,2019,8318
FALSE,FALSE,Teoscar Hernandez,4,1081,156,256,2,3,60,153,11,0.2368177613321,0.47641073080481,0,0,0,0,0,645,2019,8320
FALSE,FALSE,Marco Hernandez,3,257,36,68,2,3,3,18,2,0.264591439688716,0.342412451361868,0,0,0,0,0,102,2019,8321
FALSE,FALSE,Gorkys Hernandez,6,988,122,227,2,3,20,81,29,0.229757085020243,0.351214574898785,0,0,0,0,0,419,2019,8323
FALSE,FALSE,Michael Hermosillo,2,93,14,17,2,3,1,4,2,0.182795698924731,0.290322580645161,0,0,0,0,0,34,2019,8324
FALSE,FALSE,Cesar Hernandez,7,2915,407,807,2,3,46,253,80,0.276843910806175,0.38147512864494,0,0,0,0,0,1298,2019,8326
FALSE,FALSE,Sam Hilliard,1,77,13,21,2,3,7,13,2,0.272727272727273,0.649350649350649,0,0,0,0,0,63,2019,8327
FALSE,FALSE,Chris Herrmann,8,887,108,182,2,3,25,103,10,0.205186020293123,0.343855693348365,0,0,0,0,0,371,2019,8329
FALSE,FALSE,Odubel Herrera,5,2280,294,630,2,3,60,233,56,0.276315789473684,0.42280701754386,1,0,0,0,0,1162,2019,8330
FALSE,FALSE,John Hicks,5,814,91,191,2,3,28,90,4,0.234643734643735,0.390663390663391,0,0,0,0,0,388,2019,8332
FALSE,FALSE,Jason Heyward,10,4920,711,1286,2,3,144,579,110,0.261382113821138,0.41239837398374,1,0,0,5,0,2450,2019,8333
FALSE,FALSE,Ryon Healy,4,1507,177,394,2,3,69,214,0,0.261446582614466,0.451891174518912,0,0,0,0,0,830,2019,8335
FALSE,FALSE,Adeiny Hechavarria,8,3012,304,763,2,3,37,271,35,0.25332005312085,0.351593625498008,0,0,0,0,0,1245,2019,8336
FALSE,FALSE,Scott Heineman,1,75,8,16,2,3,2,7,1,0.213333333333333,0.373333333333333,0,0,0,0,0,36,2019,8338
FALSE,FALSE,Tyler Heineman,1,11,1,3,2,3,1,2,0,0.272727272727273,0.636363636363636,0,0,0,0,0,9,2019,8339
FALSE,FALSE,Adam Haseley,1,222,30,59,2,3,5,26,4,0.265765765765766,0.396396396396396,0,0,0,0,0,107,2019,8341
FALSE,FALSE,Ian Happ,3,891,143,219,2,3,50,142,18,0.245791245791246,0.475869809203143,0,0,0,0,0,523,2019,8342
FALSE,FALSE,Bryce Harper,8,3879,708,1071,2,3,219,635,90,0.276102088167053,0.511729827275071,6,1,0,0,0,2442,2019,8344
FALSE,FALSE,Josh Harrison,9,2924,373,797,2,3,53,277,79,0.272571819425445,0.401162790697674,2,0,0,0,0,1415,2019,8345
FALSE,FALSE,Deivy Grullon,1,9,0,1,2,3,0,1,0,0.111111111111111,0.222222222222222,0,0,0,0,0,3,2019,8347
FALSE,FALSE,Vladimir Guerrero,1,464,52,126,2,3,15,69,0,0.271551724137931,0.433189655172414,0,0,0,0,0,244,2019,8348
FALSE,FALSE,Kelvin Gutierrez,1,73,4,19,2,3,1,11,1,0.26027397260274,0.356164383561644,0,0,0,0,0,30,2019,8350
FALSE,FALSE,Lourdes Gurriel,2,563,82,157,2,3,31,85,7,0.27886323268206,0.49911190053286,0,0,0,0,0,341,2019,8351
FALSE,FALSE,Ronald Guzman,2,643,80,147,2,3,26,94,2,0.228615863141524,0.415241057542768,0,0,0,0,0,333,2019,8353
FALSE,FALSE,Eric Haase,2,32,1,3,2,3,1,4,0,0.09375,0.1875,0,0,0,0,0,7,2019,8354
FALSE,FALSE,Billy Hamilton,7,2807,406,680,2,3,21,176,299,0.242251514071963,0.326327039543997,0,0,0,0,0,1074,2019,8356
FALSE,FALSE,Garrett Hampson,2,339,43,85,2,3,8,31,17,0.250737463126844,0.386430678466077,0,0,0,0,0,156,2019,8357
FALSE,FALSE,Juan Graterol,4,124,10,27,2,3,0,14,0,0.217741935483871,0.266129032258065,0,0,0,0,0,39,2019,8359
FALSE,FALSE,Zach Green,1,14,1,2,2,3,0,1,0,0.142857142857143,0.214285714285714,0,0,0,0,0,4,2019,8360
FALSE,FALSE,Robbie Grossman,7,2196,296,556,2,3,42,231,29,0.253187613843352,0.372040072859745,0,0,0,0,0,986,2019,8362
FALSE,FALSE,Trent Grisham,1,156,24,36,2,3,6,24,1,0.230769230769231,0.41025641025641,0,0,0,0,0,78,2019,8363
FALSE,FALSE,Randal Grichuk,6,2301,314,561,2,3,122,323,20,0.24380704041721,0.482833550630161,0,0,0,0,0,1397,2019,8365
FALSE,FALSE,Curtis Granderson,16,7236,1217,1800,2,3,344,937,153,0.248756218905473,0.465450525152018,3,0,0,0,0,4153,2019,8366
FALSE,FALSE,Philip Gosselin,7,597,77,157,2,3,7,42,7,0.262981574539363,0.355108877721943,0,0,0,0,0,251,2019,8368
FALSE,FALSE,Yuli Gurriel,4,1760,237,516,2,3,65,279,14,0.293181818181818,0.478409090909091,0,0,0,0,0,1034,2019,8369
FALSE,FALSE,Alex Gordon,13,6228,852,1609,2,3,186,738,113,0.25834938985228,0.412973667308927,3,0,0,5,0,3137,2019,8371
FALSE,FALSE,Dee Gordon,9,3772,520,1085,2,3,18,231,330,0.287645811240721,0.363202545068929,2,0,0,1,0,1565,2019,8372
FALSE,FALSE,Niko Goodrum,3,884,117,215,2,3,28,98,24,0.243212669683258,0.419683257918552,0,0,0,0,0,463,2019,8374
FALSE,FALSE,Erik Kratz,10,853,74,175,2,3,31,101,1,0.205158264947245,0.354044548651817,0,0,0,0,0,367,2019,8375
FALSE,FALSE,Ryan LaMarre,5,225,21,53,2,3,4,21,3,0.235555555555556,0.337777777777778,0,0,0,0,0,91,2019,8377
FALSE,FALSE,Jake Lamb,6,1929,283,466,2,3,81,302,18,0.241575946086055,0.439087610160705,1,0,0,0,0,1045,2019,8378
FALSE,FALSE,Andrew Knizner,1,53,7,12,2,3,2,7,2,0.226415094339623,0.377358490566038,0,0,0,0,0,24,2019,8380
FALSE,FALSE,Andrew Knapp,3,494,57,110,2,3,9,36,2,0.222672064777328,0.336032388663968,0,0,0,0,0,201,2019,8381
FALSE,FALSE,Isiah Kiner-Falefa,2,558,66,141,2,3,5,55,10,0.252688172043011,0.344086021505376,0,0,0,0,0,230,2019,8383
FALSE,FALSE,Scott Kingery,2,910,119,220,2,3,27,90,25,0.241758241758242,0.406593406593407,0,0,0,0,0,460,2019,8384
FALSE,FALSE,Jason Kipnis,9,4290,594,1120,2,3,123,529,135,0.261072261072261,0.416550116550117,2,0,0,0,0,2185,2019,8386
FALSE,FALSE,Carter Kieboom,1,39,4,5,2,3,2,2,0,0.128205128205128,0.282051282051282,0,0,0,0,0,13,2019,8387
FALSE,FALSE,Howie Kendrick,14,5859,781,1722,2,3,125,710,126,0.293906810035842,0.430619559651818,1,0,0,0,0,3036,2019,8389
FALSE,FALSE,Ryan Lavarnway,8,408,35,86,2,3,9,50,0,0.21078431372549,0.343137254901961,0,0,0,0,0,176,2019,8390
FALSE,FALSE,Ramon Laureano,2,590,106,170,2,3,29,86,20,0.288135593220339,0.508474576271186,0,0,0,0,0,371,2019,8392
FALSE,FALSE,Kyle Lewis,1,71,10,19,2,3,6,13,0,0.267605633802817,0.591549295774648,0,0,0,0,0,53,2019,8393
FALSE,FALSE,Sandy Leon,8,1169,129,258,2,3,25,123,1,0.220701454234388,0.331907613344739,0,0,0,0,0,466,2019,8395
FALSE,FALSE,DJ LeMahieu,9,4047,610,1223,2,3,75,451,80,0.30219915987151,0.422535211267606,3,0,0,2,0,2014,2019,8396
FALSE,FALSE,Brandon Lowe,2,425,58,110,2,3,23,76,7,0.258823529411765,0.494117647058824,1,0,0,0,0,260,2019,8398
FALSE,FALSE,Jonathan Lucroy,10,4121,481,1128,2,3,108,545,30,0.273719970880854,0.416403785488959,2,0,0,0,0,2064,2019,8399
FALSE,FALSE,Shed Long,1,152,21,40,2,3,5,15,3,0.263157894736842,0.453947368421053,0,0,0,0,0,87,2019,8401
FALSE,FALSE,Evan Longoria,12,6383,890,1703,2,3,297,1015,57,0.266802443991853,0.474071753094156,3,0,0,3,0,3730,2019,8402
FALSE,FALSE,Tim Lopes,1,111,11,30,2,3,1,12,6,0.27027027027027,0.36036036036036,0,0,0,0,0,48,2019,8404
FALSE,FALSE,Tim Locastro,3,224,44,55,2,3,1,17,22,0.245535714285714,0.334821428571429,0,0,0,0,0,91,2019,8405
FALSE,FALSE,Francisco Lindor,5,2904,478,835,2,3,130,384,93,0.287534435261708,0.493457300275482,4,0,0,1,0,1756,2019,8407
FALSE,FALSE,Drew Jackson,1,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2019,8408
FALSE,FALSE,Chris Iannetta,14,3563,449,820,2,3,141,502,11,0.23014313780522,0.405837777154084,0,0,0,0,0,1779,2019,8410
FALSE,FALSE,Ender Inciarte,6,2922,418,835,2,3,39,243,113,0.285763175906913,0.390143737166324,1,0,0,2,0,1340,2019,8411
FALSE,FALSE,Joe Hudson,2,13,0,2,2,3,0,1,0,0.153846153846154,0.230769230769231,0,0,0,0,0,4,2019,8413
FALSE,FALSE,Nick Hundley,12,3097,319,766,2,3,93,376,15,0.247336131740394,0.404907975460123,0,0,0,0,0,1536,2019,8414
FALSE,FALSE,Bryan Holaday,8,671,65,162,2,3,10,74,1,0.241430700447094,0.339791356184799,0,0,0,0,0,272,2019,8416
FALSE,FALSE,Nico Hoerner,1,78,13,22,2,3,3,17,0,0.282051282051282,0.435897435897436,0,0,0,0,0,39,2019,8417
FALSE,FALSE,Rhys Hoskins,3,1298,212,310,2,3,81,229,9,0.238828967642527,0.493836671802774,0,0,0,0,0,805,2019,8419
FALSE,FALSE,Eric Hosmer,9,5223,691,1451,2,3,167,734,67,0.277809687918821,0.432318590848172,1,0,0,4,0,2711,2019,8420
FALSE,FALSE,Matt Kemp,14,6248,932,1780,2,3,281,1010,183,0.284891165172855,0.48527528809219,3,0,0,2,0,3685,2019,8422
FALSE,FALSE,Carson Kelly,4,431,53,95,2,3,18,57,0,0.220417633410673,0.39907192575406,0,0,0,0,0,213,2019,8423
FALSE,FALSE,Caleb Joseph,6,1255,131,280,2,3,31,125,2,0.223107569721116,0.349800796812749,0,0,0,0,0,532,2019,8425
FALSE,FALSE,Corban Joseph,3,88,7,15,2,3,1,10,0,0.170454545454545,0.261363636363636,0,0,0,0,0,29,2019,8426
FALSE,FALSE,Aaron Judge,4,1417,290,387,2,3,110,246,18,0.273112208892025,0.558221594918843,2,0,0,0,0,971,2019,8428
FALSE,FALSE,Adam Jones,14,7009,963,1939,2,3,282,945,97,0.276644314452846,0.453559708945641,5,0,0,4,0,3826,2019,8429
FALSE,FALSE,Connor Joe,1,15,1,1,2,3,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,2019,8431
FALSE,FALSE,Eloy Jimenez,1,468,69,125,2,3,31,79,0,0.267094017094017,0.512820512820513,0,0,0,0,0,291,2019,8432
FALSE,FALSE,Travis Jankowski,5,869,121,209,2,3,8,42,62,0.240506329113924,0.317606444188723,0,0,0,0,0,320,2019,8434
FALSE,FALSE,Danny Jansen,2,428,53,92,2,3,16,51,0,0.214953271028037,0.373831775700935,0,0,0,0,0,195,2019,8435
FALSE,FALSE,Gordon Beckham,11,3403,420,807,2,3,80,351,35,0.237143696738172,0.366735233617396,0,0,0,0,0,1522,2019,8437
FALSE,FALSE,Tim Beckham,6,1614,201,402,2,3,63,198,13,0.24907063197026,0.431226765799257,0,0,0,0,0,849,2019,8438
FALSE,FALSE,Anthony Bemboom,1,54,2,7,2,3,1,4,0,0.12962962962963,0.203703703703704,0,0,0,0,0,13,2019,8440
FALSE,FALSE,Andrew Benintendi,4,1798,275,498,2,3,51,259,52,0.276974416017798,0.442157953281424,0,0,0,0,0,977,2019,8441
FALSE,FALSE,Josh Bell,4,1705,261,452,2,3,78,287,4,0.265102639296188,0.47741935483871,1,0,0,0,0,1007,2019,8443
FALSE,FALSE,Cody Bellinger,3,1595,292,443,2,3,111,288,39,0.277742946708464,0.559247648902821,2,0,0,0,0,1105,2019,8444
FALSE,FALSE,Tres Barrera,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2019,8446
FALSE,FALSE,Franklin Barreto,3,201,26,38,2,3,9,27,3,0.189054726368159,0.378109452736318,0,0,0,0,0,94,2019,8447
FALSE,FALSE,Tucker Barnhart,6,1819,168,455,2,3,39,200,6,0.250137438152831,0.37108301264431,0,0,0,1,0,811,2019,8449
FALSE,FALSE,Yordan Alvarez,1,313,58,98,2,3,27,78,0,0.313099041533546,0.654952076677316,0,0,0,0,0,258,2019,8450
FALSE,FALSE,Aaron Altherr,6,1016,142,222,2,3,37,150,21,0.218503937007874,0.400590551181102,0,0,0,0,0,508,2019,8452
FALSE,FALSE,Albert Almora,4,1194,156,327,2,3,28,133,4,0.273869346733668,0.40284757118928,0,0,0,0,0,575,2019,8453
FALSE,FALSE,Pete Alonso,1,597,103,155,2,3,53,120,1,0.25963149078727,0.582914572864322,1,0,0,0,0,433,2019,8455
FALSE,FALSE,Yonder Alonso,10,3362,391,872,2,3,100,426,22,0.259369422962522,0.403628792385485,1,0,0,0,0,1640,2019,8456
FALSE,FALSE,Anthony Alford,3,55,6,8,2,3,1,2,3,0.145454545454545,0.218181818181818,0,0,0,0,0,14,2019,8458
FALSE,FALSE,Jorge Alfaro,4,898,91,239,2,3,33,108,7,0.266146993318486,0.423162583518931,0,0,0,0,0,452,2019,8459
FALSE,FALSE,Matt Adams,8,2336,290,609,2,3,116,388,4,0.260702054794521,0.469178082191781,0,0,0,0,0,1345,2019,8461
FALSE,FALSE,Jim Adduci,5,396,48,92,2,3,5,39,7,0.232323232323232,0.335858585858586,0,0,0,0,0,160,2019,8462
FALSE,FALSE,Nick Ahmed,6,2014,248,475,2,3,55,231,25,0.235849056603774,0.387288977159881,0,0,0,0,0,956,2019,8464
FALSE,FALSE,Ehire Adrianza,7,990,133,246,2,3,16,111,17,0.248484848484848,0.367676767676768,0,0,0,0,0,443,2019,8465
FALSE,FALSE,Ozzie Albies,3,1496,241,418,2,3,54,186,37,0.279411764705882,0.473262032085562,1,0,0,0,0,872,2019,8467
FALSE,FALSE,Jose Abreu,6,3547,483,1038,2,3,179,611,10,0.29264166901607,0.513391598533972,3,0,0,0,0,2232,2019,8468
FALSE,FALSE,Cristhian Adames,5,328,32,70,2,3,2,22,2,0.213414634146341,0.283536585365854,0,0,0,0,0,108,2019,8470
FALSE,FALSE,Willy Adames,2,819,112,215,2,3,30,86,10,0.262515262515263,0.413919413919414,0,0,0,0,0,402,2019,8471
FALSE,FALSE,Aristides Aquino,2,206,31,53,2,3,19,47,7,0.257281553398058,0.572815533980582,0,0,0,0,0,145,2019,8473
FALSE,FALSE,Nolan Arenado,7,3936,626,1160,2,3,227,734,16,0.294715447154472,0.545731707317073,5,0,0,5,0,2655,2019,8474
FALSE,FALSE,Miguel Andujar,3,627,84,180,2,3,27,97,3,0.287081339712919,0.500797448165869,0,0,0,0,0,392,2019,8476
FALSE,FALSE,Tim Anderson,4,2062,287,570,2,3,64,206,68,0.27643064985451,0.434529582929195,0,0,0,0,0,1081,2019,8477
FALSE,FALSE,Willians Astudillo,2,283,37,84,2,3,7,42,0,0.296819787985866,0.424028268551237,0,0,0,0,0,141,2019,8479
FALSE,FALSE,Humberto Arteaga,1,122,11,24,2,3,0,4,1,0.19672131147541,0.229508196721311,0,0,0,0,0,32,2019,8480
FALSE,FALSE,Luis Arraez,1,326,54,109,2,3,4,28,2,0.334355828220859,0.438650306748466,0,0,0,0,0,168,2019,8482
FALSE,FALSE,Christian Arroyo,3,228,22,49,2,3,6,27,1,0.214912280701754,0.342105263157895,0,0,0,0,0,94,2019,8483
FALSE,FALSE,Abiatal Avelino,2,18,1,5,2,3,0,1,0,0.277777777777778,0.277777777777778,0,0,0,0,0,5,2019,8485
FALSE,FALSE,Tyler Austin,4,521,75,114,2,3,33,91,4,0.218809980806142,0.4510556621881,0,0,0,0,0,289,2019,8486
FALSE,FALSE,Harrison Bader,3,811,125,191,2,3,27,86,28,0.235511713933416,0.393341553637485,0,0,0,0,0,388,2019,8488
FALSE,FALSE,Drew Butera,10,1266,118,253,2,3,19,114,0,0.199842022116904,0.296998420221169,0,0,0,0,0,456,2019,8489
FALSE,FALSE,Willie Calhoun,3,442,62,114,2,3,24,63,0,0.257918552036199,0.468325791855204,0,0,0,0,0,251,2019,8491
FALSE,FALSE,Johan Camargo,3,937,124,252,2,3,30,135,2,0.268943436499466,0.437566702241195,0,0,0,0,0,504,2019,8492
FALSE,FALSE,Asdrubal Cabrera,13,6133,829,1646,2,3,180,796,90,0.268384151312571,0.425077449861405,2,0,0,0,0,3183,2019,8494
FALSE,FALSE,Melky Cabrera,15,6878,895,1962,2,3,144,854,101,0.285257342250654,0.416836289619075,1,0,0,0,0,3439,2019,8495
FALSE,FALSE,Lewis Brinson,3,655,48,120,2,3,13,60,4,0.183206106870229,0.293129770992366,0,0,0,0,0,231,2019,8497
FALSE,FALSE,Socrates Brito,4,207,23,37,2,3,5,18,3,0.178743961352657,0.309178743961353,0,0,0,0,0,78,2019,8498
FALSE,FALSE,Kris Bryant,5,2643,486,751,2,3,138,403,34,0.28414680287552,0.516080211880439,3,1,0,0,0,1685,2019,8500
FALSE,FALSE,Keon Broxton,5,905,136,189,2,3,39,95,60,0.208839779005525,0.387845303867403,0,0,0,0,0,428,2019,8501
FALSE,FALSE,Seth Brown,1,75,11,22,2,3,0,13,1,0.293333333333333,0.453333333333333,0,0,0,0,0,44,2019,8503
FALSE,FALSE,David Bote,2,487,70,122,2,3,17,74,8,0.250513347022587,0.416837782340862,0,0,0,0,0,248,2019,8504
FALSE,FALSE,Justin Bour,6,1714,206,433,2,3,92,303,3,0.252625437572929,0.457409568261377,0,0,0,0,0,949,2019,8506
FALSE,FALSE,Jorge Bonifacio,3,640,89,158,2,3,21,66,1,0.246875,0.4078125,0,0,0,0,0,319,2019,8507
FALSE,FALSE,Alex Bregman,4,1905,346,545,2,3,99,320,34,0.286089238845144,0.527034120734908,2,0,0,0,0,1254,2019,8509
FALSE,FALSE,Ryan Braun,13,6493,1066,1933,2,3,344,1128,215,0.297705221007239,0.533189588787925,5,1,0,0,0,4255,2019,8510
FALSE,FALSE,Rob Brantly,5,388,32,89,2,3,7,37,1,0.229381443298969,0.332474226804124,0,0,0,0,0,155,2019,8512
FALSE,FALSE,Jackie Bradley,7,2708,403,638,2,3,91,354,55,0.235598227474151,0.409158050221566,1,0,0,0,0,1373,2019,8513
FALSE,FALSE,Alex Blandino,2,164,20,39,2,3,2,11,0,0.23780487804878,0.304878048780488,0,0,0,0,0,57,2019,8515
FALSE,FALSE,Xander Bogaerts,7,3545,542,1022,2,3,107,503,53,0.288293370944993,0.451057827926657,2,0,0,0,0,1948,2019,8516
FALSE,FALSE,Mookie Betts,6,3203,613,965,2,3,139,470,126,0.301280049953169,0.519200749297534,4,0,0,2,0,2057,2019,8518
FALSE,FALSE,Bo Bichette,1,196,32,61,2,3,11,21,4,0.311224489795918,0.571428571428571,0,0,0,0,0,141,2019,8519
FALSE,FALSE,Cavan Biggio,1,354,66,83,2,3,16,48,14,0.234463276836158,0.429378531073446,0,0,0,0,0,187,2019,8521
FALSE,FALSE,Greg Bird,4,611,75,129,2,3,32,98,0,0.211129296235679,0.423895253682488,0,0,0,0,0,324,2019,8522
FALSE,FALSE,Nelson Cruz,15,6212,919,1721,2,3,401,1119,76,0.277044430135222,0.527044430135222,6,0,0,0,0,4012,2019,8524
FALSE,FALSE,Noel Cuevas,2,148,16,34,2,3,2,10,1,0.22972972972973,0.310810810810811,0,0,0,0,0,53,2019,8525
FALSE,FALSE,C. J. Cron,6,2325,274,601,2,3,114,365,9,0.258494623655914,0.462365591397849,0,0,0,0,0,1315,2019,8527
FALSE,FALSE,Kevin Cron,1,71,12,15,2,3,6,16,0,0.211267605633803,0.52112676056338,0,0,0,0,0,47,2019,8528
FALSE,FALSE,Dylan Cozens,2,39,2,6,2,3,1,2,1,0.153846153846154,0.282051282051282,0,0,0,0,0,14,2019,8530
FALSE,FALSE,Brandon Crawford,9,4230,483,1055,2,3,98,536,31,0.249408983451537,0.38936170212766,2,0,0,3,0,2005,2019,8531
FALSE,FALSE,Carlos Correa,5,2068,312,573,2,3,102,372,33,0.277079303675048,0.48936170212766,1,0,0,0,0,1240,2019,8533
