InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,John Jaso,9,2224,295,573,2,3,55,281,16,0.257643884892086,0.406924460431655,0,0,0,0,0,1115,2017,7823
FALSE,FALSE,Micah Johnson,3,116,13,26,2,3,0,4,4,0.224137931034483,0.258620689655172,0,0,0,0,0,34,2017,7825
FALSE,FALSE,Carlos Beltran,20,9768,1582,2725,2,3,435,1587,312,0.278972153972154,0.486384111384111,9,0,0,3,0,5829,2017,7826
FALSE,FALSE,Arismendy Alcantara,4,428,51,81,2,3,11,39,14,0.189252336448598,0.315420560747664,0,0,0,0,0,164,2017,7828
FALSE,FALSE,Nori Aoki,6,2716,377,774,2,3,33,219,98,0.284977908689249,0.387334315169367,0,0,0,0,0,1242,2017,7829
FALSE,FALSE,Cody Asche,5,1238,129,290,2,3,32,129,5,0.234248788368336,0.375605815831987,0,0,0,0,0,572,2017,7831
FALSE,FALSE,Erick Aybar,12,5175,643,1402,2,3,58,473,155,0.270917874396135,0.371787439613527,1,0,0,1,0,2284,2017,7832
FALSE,FALSE,Orlando Calixte,2,52,6,7,2,3,0,6,1,0.134615384615385,0.153846153846154,0,0,0,0,0,9,2017,7834
FALSE,FALSE,Billy Burns,4,843,114,228,2,3,5,55,46,0.270462633451957,0.35349940688019,0,0,0,0,0,345,2017,7835
FALSE,FALSE,Emilio Bonifacio,11,2610,355,669,2,3,13,165,166,0.25632183908046,0.332950191570881,0,0,0,0,0,1010,2017,7837
FALSE,FALSE,John Bormann,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2017,7838
FALSE,FALSE,Quintin Berry,5,305,53,80,2,3,3,33,29,0.262295081967213,0.363934426229508,0,0,0,0,0,130,2017,7840
FALSE,FALSE,Andres Blanco,10,1191,137,305,2,3,18,109,5,0.256087321578505,0.377833753148615,0,0,0,0,0,550,2017,7841
FALSE,FALSE,Dusty Coleman,2,71,6,15,2,3,4,9,1,0.211267605633803,0.422535211267606,0,0,0,0,0,37,2017,7843
FALSE,FALSE,Chris Coghlan,9,2580,353,666,2,3,53,234,47,0.258139534883721,0.397674418604651,0,0,0,0,0,1254,2017,7844
FALSE,FALSE,Gavin Cecchini,2,83,6,18,2,3,1,9,0,0.216867469879518,0.301204819277108,0,0,0,0,0,30,2017,7846
FALSE,FALSE,Darrell Ceciliani,3,100,9,19,2,3,2,7,5,0.19,0.3,0,0,0,0,0,37,2017,7847
